cluster_id,name,description,size,total_size,member_clusters,sample_summaries
0,Handle LangChain business partnerships and community collaboration inquiries,"<summary>Support teams facilitated business development inquiries, partnership discussions, and collaboration requests across the LangChain ecosystem. They coordinated meetings, managed community access issues, collected project feedback, and provided platform documentation guidance to support business relationships and community engagement.",10,85,"[np.int32(0), np.int32(12), np.int32(26), np.int32(73), np.int32(117), np.int32(167), np.int32(233), np.int32(249), np.int32(263), np.int32(274)]",
1,Filter spam and unsolicited marketing messages from LangChain support channels,"<summary>Support staff identified and filtered unsolicited marketing messages, SEO solicitations, and guest posting requests that were sent to LangChain support channels. These spam filtering efforts helped maintain the integrity of legitimate technical support communications by blocking promotional content unrelated to LangChain products and services.",15,168,"[np.int32(1), np.int32(14), np.int32(17), np.int32(51), np.int32(55), np.int32(66), np.int32(74), np.int32(90), np.int32(145), np.int32(197), np.int32(216), np.int32(218), np.int32(248), np.int32(259), np.int32(279)]",
2,Resolve LangGraph Platform deployment infrastructure and configuration issues,"<summary>
Support teams addressed comprehensive LangGraph Platform deployment and infrastructure challenges, including quota limit increases, build failures, authentication configuration, database integration issues, and legacy infrastructure migrations. They also resolved technical problems across LangGraph Studio setup, streaming functionality, state persistence systems, and integration with LangSmith observability features.",38,521,"[np.int32(2), np.int32(4), np.int32(10), np.int32(15), np.int32(16), np.int32(21), np.int32(22), np.int32(27), np.int32(44), np.int32(65), np.int32(70), np.int32(72), np.int32(78), np.int32(84), np.int32(85), np.int32(87), np.int32(88), np.int32(89), np.int32(107), np.int32(112), np.int32(115), np.int32(124), np.int32(138), np.int32(144), np.int32(154), np.int32(159), np.int32(160), np.int32(166), np.int32(168), np.int32(169), np.int32(205), np.int32(207), np.int32(214), np.int32(228), np.int32(230), np.int32(234), np.int32(251), np.int32(272)]",
3,Process LangSmith data privacy compliance and GDPR deletion requests,"<summary>Support handled LangSmith data privacy and compliance requests including GDPR deletions, regional migrations, and security documentation. Teams processed account and organization deletion requests through DSAR procedures while providing compliance agreements like DPAs and BAAs for enterprise security assessments.",16,201,"[np.int32(3), np.int32(29), np.int32(42), np.int32(45), np.int32(99), np.int32(104), np.int32(108), np.int32(131), np.int32(134), np.int32(147), np.int32(161), np.int32(209), np.int32(222), np.int32(246), np.int32(264), np.int32(281)]",
4,Resolve LangSmith platform infrastructure and application functionality issues,"<summary>
Support teams resolved comprehensive LangSmith platform infrastructure issues including self-hosted Kubernetes deployments, BYOC configurations, ClickHouse database management, and critical connectivity failures. Teams also addressed LangSmith application-layer problems such as dashboard filtering bugs, UI display issues, tracing visibility problems, bulk export timeouts, and project management interface complications.",26,301,"[np.int32(5), np.int32(6), np.int32(11), np.int32(13), np.int32(20), np.int32(37), np.int32(54), np.int32(76), np.int32(81), np.int32(109), np.int32(116), np.int32(127), np.int32(129), np.int32(141), np.int32(142), np.int32(150), np.int32(177), np.int32(182), np.int32(191), np.int32(196), np.int32(200), np.int32(204), np.int32(215), np.int32(267), np.int32(280), np.int32(285)]",
5,Resolve LangSmith platform authentication and workspace access configuration issues,"<summary>
Support requests focused on resolving LangSmith platform authentication failures, access issues, and account configuration problems including login errors, workspace management, and SSO integration. These cases involved troubleshooting 403 forbidden errors, password resets, member invitations, organization setup, email updates, SAML/OIDC configuration, and workspace migration issues.",16,119,"[np.int32(7), np.int32(36), np.int32(52), np.int32(64), np.int32(67), np.int32(75), np.int32(100), np.int32(113), np.int32(130), np.int32(151), np.int32(155), np.int32(164), np.int32(176), np.int32(225), np.int32(231), np.int32(287)]",
6,Resolve LangChain ecosystem technical integration and implementation issues,"<summary>Support teams resolved complex technical integration issues across the LangChain ecosystem, including model integrations, structured output configurations, and platform deployment challenges spanning LangChain OSS, LangGraph, and LangSmith components. Teams provided implementation guidance for advanced workflow patterns, debugging assistance for SDK integrations, and troubleshooting support for multi-agent architectures and third-party service connections like OpenAI, Anthropic, and AWS Bedrock.",30,256,"[np.int32(8), np.int32(32), np.int32(43), np.int32(48), np.int32(57), np.int32(79), np.int32(91), np.int32(93), np.int32(101), np.int32(114), np.int32(120), np.int32(121), np.int32(133), np.int32(136), np.int32(149), np.int32(175), np.int32(188), np.int32(190), np.int32(194), np.int32(213), np.int32(223), np.int32(236), np.int32(239), np.int32(247), np.int32(250), np.int32(254), np.int32(266), np.int32(275), np.int32(277), np.int32(288)]",
7,Resolve LangSmith billing administration and subscription management issues,"<summary>
Support staff resolved comprehensive LangSmith billing and account administration issues including duplicate charges, subscription management, refund processing, and invoice handling across organizations and regions. These efforts addressed billing discrepancies from system bugs, managed subscription cancellations and upgrades, processed tax documentation requests, and handled organization admin transfers and seat management.",23,261,"[np.int32(9), np.int32(19), np.int32(23), np.int32(31), np.int32(34), np.int32(46), np.int32(47), np.int32(53), np.int32(69), np.int32(86), np.int32(97), np.int32(103), np.int32(128), np.int32(148), np.int32(158), np.int32(163), np.int32(171), np.int32(173), np.int32(210), np.int32(240), np.int32(241), np.int32(255), np.int32(269)]",
8,"Handle LangSmith and LangGraph enterprise sales, pricing inquiries, and organizational account administration","<summary>
Support teams handled enterprise sales consultations and pricing inquiries across LangSmith and LangGraph platforms, including self-hosted deployment licensing and quota management. They also resolved organizational account administration issues such as ownership transfers, privilege management, billing updates, and organization deletion requests.",16,163,"[np.int32(18), np.int32(28), np.int32(105), np.int32(132), np.int32(165), np.int32(179), np.int32(186), np.int32(187), np.int32(192), np.int32(193), np.int32(227), np.int32(232), np.int32(253), np.int32(258), np.int32(261), np.int32(265)]",
9,Resolve LangSmith SDK integration and platform functionality issues,"<summary>
Support representatives resolved LangSmith SDK integration issues including tracing configuration, API authentication, rate limiting, and performance optimization across multiple cloud AI providers. They also addressed LangSmith platform functionality problems such as dashboard UI crashes, Prompt Hub caching issues, evaluation filtering, dataset management, and multimodal input handling for various model integrations.",31,266,"[np.int32(24), np.int32(41), np.int32(59), np.int32(60), np.int32(62), np.int32(63), np.int32(71), np.int32(92), np.int32(95), np.int32(106), np.int32(110), np.int32(111), np.int32(126), np.int32(139), np.int32(146), np.int32(174), np.int32(184), np.int32(185), np.int32(199), np.int32(203), np.int32(219), np.int32(229), np.int32(235), np.int32(237), np.int32(238), np.int32(245), np.int32(256), np.int32(257), np.int32(270), np.int32(286), np.int32(289)]",
